id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,type,background,foreground,border
period:lower_paleolithic,periods,-3300000,-300000,Paléolithique inférieur,Lower Paleolithic,https://fr.wikipedia.org/wiki/Paléolithique_inférieur,https://en.wikipedia.org/wiki/Lower_Paleolithic,,oklch(60.9% 0.126 221.723),,
period:middle_paleolithic,periods,-300000,-45000,Paléolithique moyen,Middle Paleolithic,https://fr.wikipedia.org/wiki/Paléolithique_moyen,https://en.wikipedia.org/wiki/Middle_Paleolithic,,oklch(71.5% 0.143 215.221),,
period:upper_paleolithic,periods,-45000,-14000,Paléolithique supérieur,Upper Paleolithic,https://fr.wikipedia.org/wiki/Paléolithique_supérieur,https://en.wikipedia.org/wiki/Upper_Paleolithic,,oklch(78.9% 0.154 211.53),,
period:epipalaeolithic,periods,-14000,-12000,Épipaléolithique,Epipalaeolithic,https://fr.wikipedia.org/wiki/Épipaléolithique,https://en.wikipedia.org/wiki/Epipalaeolithic,,oklch(86.5% 0.127 207.078),,
period:mesolithic,periods,-12000,-5000,Mésolithique,Mesolithic,https://fr.wikipedia.org/wiki/Mésolithique,https://en.wikipedia.org/wiki/Mesolithic,,oklch(76.5% 0.177 163.223),,
period:neolithic,periods,-5000,-3200,Néolithique,Neolithic,https://fr.wikipedia.org/wiki/Néolithique,https://en.wikipedia.org/wiki/Neolithic,,oklch(84.1% 0.238 128.85),,
period:bronze_age,periods,-3200,-1200,Âge du bronze,Bronze Age,https://fr.wikipedia.org/wiki/Âge_du_bronze,https://en.wikipedia.org/wiki/Bronze_Age,,oklch(85.2% 0.199 91.936),,
period:iron_age,periods,-1200,-50,Âge du fer,Iron Age,https://fr.wikipedia.org/wiki/Âge_du_fer,https://en.wikipedia.org/wiki/Iron_Age,,oklch(82.8% 0.189 84.429),,
period:antiquity,periods,-50,500,Antiquité,Antiquity,https://fr.wikipedia.org/wiki/Antiquité,https://en.wikipedia.org/wiki/Ancient_history,,oklch(75% 0.183 55.934),,
period:middle-ages,periods,500,1500,Moyen Âge,Middle Ages,https://fr.wikipedia.org/wiki/Moyen_Âge,https://en.wikipedia.org/wiki/Middle_Ages,,oklch(70.4% 0.191 22.216),,
